"song_name","spotify_id","genius_id"
"Genesis","2UbMJbQq6G0TJnmnubgolV",8238944
"Matte Black","0hPRWztAIbNkt6GcFcLiqF",8243463
"Fucking Your Culture","2gkVweydDn7MmHmqXAlEzk",8238957
"1000 Blunts","09riz9pAPJyYYDVynE5xxY",8238968
"In Constant Sorrow","1TnfJHuRolxBBbweTa3qby",8238970
"Escape From BABYLON","12SqxMqtStXppn5fjDYr45",8064252
"Ashes of Luxury","0GX0o6zfRAE50vvFoQQIph",8238974
"Resistance Is Useless","0dKrkVDKJZHI787AaxmgQ0",8238978
"Eulogy","5yshqP8Dvk7JmHeJ5BiLyP",8238980
"No Matter Which Direction I'm Going In, I Never Chase These Hoes","3wGT3OycqbsHFjIKMZ8EEq",8238982
"$uicideboy$ Were Better In 2015","6LoaYlv0bC1TyctuADqNFh",8238983
"Unlucky Me","6zmOzxSclGHqbmgkjYdBdl",8238984
"THE_EVIL_THAT_MEN_DO","5diz02QLFSmDur9R9M6bcD",7922414
"Genesis","6nF0rvUwrAC6hGzyl0CMNs",8238944
"Matte Black","3TCYRzQ9YVI3gsgx0ymabj",8243463
"Fucking Your Culture","1DW6mNdUNcdkLQbHmUVcGr",8238957
"1000 Blunts","6v4OiUGljz7DWl1fcqs7aj",8238968
"In Constant Sorrow","1QmkdwULYI0kqOMggAFKpP",8238970
"Escape from Babylon","7yltH5UxM0BExPv9hnYdiV",8064252
"Ashes of Luxury","42ZYHBa6QWbzRMCH9h9cDW",8238974
"Resistance is Useless","7Bt2kvCTyIofCvAjEgQXWb",8238978
"Eulogy","06wakhxgzpxDG2kkXpCkoN",8238980
"No Matter Which Direction I'm Going in, I Never Chase These Hoes","5VJkJOojJng9WdEYeCTo2q",8238982
"$uicideboy$ Were Better in 2015","5RwLDtX6PT2TWDA88CSdvs",8238983
"Unlucky Me","1fmSYaIT0TQKFN3hnJAIpC",8238984
"THE_EVIL_THAT_MEN_DO","5TdcPrfEpoQmWJyeFpc1bF",7922414
"Degeneration in the Key of A Minor","3sUS7AZuOA4KKxqNJLmrM2",6934393
"Life Is but a Stream~","5wRSnumY0x8O47QuxgqwhR",6934405
"5 Grand at 8 to 1","1RSjxBz03F6vEqoHT9jWBa",6934409
"WE ENVY NOTHING IN THE WORLD.","53SiIWzvx7vKzLmAHrZwog",6934410
"Lighting the Flames of My Own Personal Hell","0nWHCNMGj7oDC1YED1tHoL",6934411
"New Profile Pic","0oGakZG2y3wcgHDF1YWPGD",6660501
"Bleach","5C33XaYYMuEKvGmABGHwOa",6934414
"Forget It","6DtlH2Ax805sJmaty5mtfK",5541220
"Avalon","19n8izXThARSuQAXrOKNbO",6761176
"Materialism as a Means to an End","5xrH7dVah85mTEr4jgT1mu",6934415
"Ugliest","2Q9nA56DKKJhj4cHMbHlAS",6934416
"The Number You Have Dialed Is Not in Service","4gAtj23mqTx5pjfkzVaXhh",6934417
"Degeneration in the Key of A Minor","1TleUKjPsKxUYwpT3mvPh2",6934393
"If Self-Destruction Was an Olympic Event, I'd Be Tonya Harding","73E91WqIBGyeRgpW0YpI0G",6934404
"Life is but a Stream~","0voXvVKVHZckJdLo1p9yG6",6934405
"5 Grand at 8 to 1","5Lc0LKibgVJcbDvM6o1g6n",6934409
"WE ENVY NOTHING IN THE WORLD.","5MmzyTFUZJ7RXh8FmRnlku",6934410
"Lighting the Flames of My Own Personal Hell","78IVmIVNjgxlgynM2GyTlo",6934411
"New Profile Pic","57XbwjcmMagETvebRm0lsj",6660501
"Bleach","5YjlLI8xawIXacubkU1pNJ",6934414
"Forget It","4dnEHppsr6i1iZU1tA2ZQ6",5541220
"Avalon","2PIqCvJ4cvQv924k2iyiQ5",6761176
"Materialism as a Means to an End","7BOJaY2TkNQC4lS6PUTabm",6934415
"Ugliest","0Mo0f5FxAGVAlHlCGJocLH",6934416
"The Number You Have Dialed is Not in Service","1RehUirIVkaPNpydVHFFc5",6934417
"All Dogs Go to Heaven","1DoBPOlB884EHiftB46QGx",5254657
"I Wanna Be Romanticized","2kwGrUme2JTUvF5Zf91Ocj",5254566
"One Last Look at the Damage","5pVZABS2GkOJf7adB3b2al",5254567
"[whispers Indistinctly]","1S4MM1ukLm3ourrBJGHniC",5254568
"Mega Zeph","0TtvdE2beN4abriNlNBlpJ",5254569
"Putrid Pride","4x3vJJYSW9fZWIubv5mmww",5254570
"That Just Isn't Empirically Possible","3xQq3mpD6hunD2XG7FXHHu",5254571
"What the Fuck is Happening","29iepR0ydOuYFaZp8um6H8",5254572
"Bizarro","3wYnfIWrBYOHx9MR3EcJzu",5254573
"Scope Set","4RP6oacRQpBRFCSU8ErhUk",5111652
"Fuck Your Culture","5LYjGMfcITu0nse2enQFPL",5111653
"...And to Those I Love, Thanks for Sticking Around","30QR0ndUdiiMQMA9g1PGCm",5254574
"King Tulip","6cpslq4nypOt9NhLPIwY6c",3871391
"Bring out Your Dead","3rP8RCgsXY9mJg3dDwBZDU",3871392
"Nicotine Patches","2qXOuks93SBqKbQofW208w",3871393
"10,000 Degrees","1uksi19G4rvXZLJzmb0uDx",3871394
"122 Days","77o41Py1xkwaxs3200SKhW",3871395
"Krewe Du Vieux (Comedy & Tragedy)","7yGX7bh3zJx4dM7ocSY4wY",3871397
"WAR TIME ALL THE TIME","1KcmA9sVN4TpXmUjLk83B9",3871398
"Coma","73hmZZ7HyLgUQj2DaybfBb",3871399
"Long Gone (Save Me from This Hell)","1a6GdgTR05j7hTgKPsK3ZM",3871400
"Meet Mr. NICEGUY","3WvD5PIWmJilHbYXtU5lp3",3871401
"Carrollton","2XSrt1dcuOXPgl3B4bxmBz",3871402
"Fuck the Industry","6I4vc5AVonWcY87fVVZhM5",3871403
"I No Longer Fear the Razor Guarding My Heel (IV)","0rUOR0B5Zyf8p8pJVifQco",2267514
"BREAKDALAW2k16","1Fy64jklSy06F9KuP4zHIs",2856080
"Say Cheese and Die","3bT8vIfhau8ktNjo7scr9X",2856138
"Eclipse","3pNd8RaOWdwP5ZC841Tgav",2856132
"Chariot of Fire","5mQafLrkmoPk7vQ6EPKrNl",2856126
"I Want to Believe","3n0ntM8XGeF5FxqeDKxEbc",2856122
"Uglier","0U8YtUWTQu79hBYjixcjfe",2856118
"Water $Uicide","7ARCUwIiTuk1vR3pxYaceV",2856115
"Elysian Fields","4Ms7qbUrVk970wEaAOS9z1",2856112
"275 $Uicide","0Q0TIm49cn8sYELi3TWE8w",2856106
"Lucky Me","3SOHz2umEvIXEgsgEtZzij",2856100
"It's Hard to Win When You Always Lose","06yk1fyRXpqmj3B9eAbqCQ",2856096
"O Pana!","0cQvicmQo8syJ2Zv8aYDfN",2852658
"Ultimate $Uicide","4D8NOZVCNZBfXNO8VZ3PXM",2846720
"Leave Your Things Behind II","5XKQclAoUvvfqpFEM0gBh7",2856087
"Do You Believe in God?","1hSBVYwG0UPeou0ORftrxm",2479739
"A Girl Named Drool and a Pack of Kools","4ITKXtvVKlf8yrzGvaFa3r",2479743
"The Sacred","4ht56CLcGZxPgSlHkiFhOl",2479766
"Aokigahara","3kubJl729HTskYc8W1hNJ7",2479774
"Resin","6r2aAQKIRtvubmG2cuNhtG",2467399
"The Nail to the Cross","0ylkuL2nlEhtVseNZ2rUGF",2476141
"Paper Bag Mask","1YZXibR9LtH4UWi707DTaJ",2417266
"Cherry P.I.E.","1GIhxG5uedQGWlMIMqz8xu",2417269
"Jeffer Drive","6PmmrATWzzaBfE5RwyBPA1",2417275
"Am/Pm","23fF9E89dWW5ZnmRfsB5Kb",2417276
"Jon Voight (Live Fast, Die Young)","4refAxNH9Js3qUz4RYR2cG",2417279
"Marlboros & White Widow","1czMCKdpD1GCifCnk5JPJt",2417280
"Golden Calf","11NMNcJsujIZlMbRzqMHn4",2417281
"Aite, Bet.","3xc0nDKxmuRXX4Ft4Mbtcy",2417283
"Grayscale","65APjJmwAiUkCiK5tc1e9T",2385155
"Novus Ordo Seclorum","1Hs7kaqR19n681bs3GdpK4",2576617
"Paris","6tO5bxNnMuh1c3cziSpecA",2374033
"Converting...","1WHWm19rw4dexRbqYyWTn7",2375345
"Low Key","2nzjXDv6OuRHrHKhfhfB98",2373607
"Gutting Catfish","03uLDhG7ShNPn5dg7h3bQP",2376246
"I Think I'm Ian Read","77Q5o4DB0VAqbvGvVRmnbO",2373651
"Evolution (Pretty Good Movie / Pretty Good Theory)","5GD5hTSqc8SOQT7lJep4EI",2375371
"Underwater Malibu","4jrdV7fS8NlbWmjnSUvUFk",2379512
"Dejection","2Wan5w82LdnUmHeLLV2kIp",2371816
"To Have and Have Not","4sfU3fHuqVW1vbiRjokDt1",2369753
"Can of Worms","6kuMbaC4R7buDAlQgqnkRX",2374625
"Vincent Van Gogh Ain't Got Shit on Me","5PdKGyZYYpWU01XWco6KNs",2313511
"Reign in Blood","1UQuwuNphXowLwMfYbIXLd",2313516
"Shattered Amethyst","51BXV7NBGHYgGf07zUXLYZ",2313520
"Fold","4O8z6dm06ts56BK2dq6MiF",2312727
"Tulane","3eubsDS0MExEPSDDXm0X6v",2313526
"Cherish the Dead","5IQqywHZreRjhqQPFjLzf9",2313527
"Opal Ring","6R6zXlUECcf2Jo6nFkA9TO",2313528
"T.R.U. (Totally Rotten Underground)","4JnpbIUaZWRLsv0iK2svlz",2313530
"Whoa, I'm Woeful","1EqjTkvG9pFY31Py6dINPH",2313532
"Fuckthepopulation","0XfsT6rbC7myipngFhWa9T",2303582
"Kill Yourself (Part III)","0kEZlJh4mK1QRfb3CT5LPk",2313538
"Iron Veil","6y0POdhjdA3S8WCWCINCW8",2334102
"Black Beard","69Z09nI41T3HPRYWWXbFKQ",2256230
"Broke(n)","5PLILBXieEc6WngpCNoMgz",2256232
"The Crescent Moon and the Rising Sun","4Kx2DFo4SA6sQJN30L814M",2256233
"Everest","0qCxKfqWpeCzwQ8AP4sVbR",2256234
"Let 'Em Burn","3O1oL3VzQP60lmFFbuhv6z",2256236
"Second Coming","3iArcry5ZQn9Q4CSFuyTOz",2256237
"Oracle","3G2UEL40WRcxHcOSHsF4sn",2256240
"Diemonds","4PYYfhYIP7TyzxeMU4xvp3",2136160
"Ugly","3qDbBtbRv6eBls6q51pAL7",2136177
"$Outh $Ide $Uicide","496GZe7MxLloHgUQTmY2Ch",2136190
"Mount Sinai","5vyR3lTiw4zz8B4PvnAO4c",2136202
"Lincoln Continental Memorial","3Zz4S3UxLEcbEf4UWRucn5",2136134
"Mannequins Are My Best of Friends","6z6W7S93PQsoe6xB4BIgyy",2136207
"Sunshine","1U89CplPp1MQoHkhMwe557",2136208
"Rotten and Paralyzed in a Tropical Paradise","4d1DmGcWchqKtrlR7wuNd9",2136212
"Fake Pontchartrain","70CCioRtqD5OCE0BIfi6f4",2136214
"Exodus","1EkGymegVqvUNUJyvS2hcK",2136220
"I Miss My Dead Friends","7uNY8JfzcHEUQd3xPolkrw",1781044
"That Time We Went to Wal Mart in Memphis to Steal Some Shit Before We Met up with ta to Shoot His Video","3oNRChArlLyUgyidv4cfd4",1787155
"Lte","6GB3N6bDucdHThFVDCBcCv",1787158
"Gloss of Blood","7zOIzXpbnCcx6iZfvOjGCQ",1787161
"La Croix","6bqkp3XMw9BUvIrr9EwMWP",1787162
"All My Life I've Wanted a Chevy","4G2jTIuq86p1Udy1UoWSt4",1787165
"I Ended up Driving the Camaro off the Causeway Bridge","0h6E24CKR8mFQJfzWgp5Es",1787167
"April Mourning","4vsN08kVOvEmgdvq177qlu",1787168
"Cerberus","5xjjbACSDUzWIfkzMlAphz",1787170
"In Order to Cast a Shadow You Must First Light a Fire","0nIPTyqgGbqgFZ6CHJQamD",1787175
"Handzum $Uicide","13959KzRbP49BJu9osgkvH",1787177
"Sold My Soul to Satan Waiting in Line at the Mall","1cc1QPB6ybcQ72OSD8tjb4",1781053
"Fuck Boy Blood Bath","6vL9xspTNjcUZISn3SfuJ1",1083826
"7th or St. Tammany","5vamLq20Q17oMMeHfpBEWY",1082953
"Dead Batteries","00UDmkyejOcUApEqpiB90i",1083019
"That's Very Minimalist of You","2PpaL147Q142eiaPtjTRu2",1083194
"Romulus","3zwFuntMEBGil74muCDDHu",1083267
"Vices","3zevRz7rXVqoGpQVtcx2pG",1083351
"Straw Chairs","40rmPKTvjHmgV5tBws8PF2",1083411
"40 Oz. & Sober","3umGi1vU2DKmgNPwcSzTgZ",1083513
"Drugs/Hoes/Money/Etc.","4OiSO4RZwrDE4THvfhyRPG",1083584
"St. Bernard","5I3yAcm3seK0djgxCIUB1f",1083637
"Leave Your Things Behind","0aufCKnp6HJIhRIC5L2Fg3",1083686
"Rag Round My Skull","1hL3kD8Ab2erZ1s4joZQPi",1083768
"#1 Stunna","0DB5hjYLs8uL9KtE0immhi",725866
"Loot","2HhLK0hZu9XjUuOrOZ4D5Y",1078795
"Magnolia","0xK6mxtum6akTBatRnhLEQ",1079519
"Gabapentin Getaway","1QVePJOBJCtfsOudYrJeLq",1080125
"$Hrimp Poboy","6e65INz3xJ9QZ4k7a9Yqje",1080371
"Prettyleaf","0NuemUW3xInX6HPN31RPxw",1080638
"To Kill a Mockingbird","33h5bUDTKeG7d5gWjXvRZ8",1080855
"Clouds as Witnesses","7s7q9dpsSCMEnDR3WhExZy",1081014
"Behold a Pale Horse","6NPDuyzOz4uKaPwWhHonrn",1081260
"Kill Yourself (Pt. II)","1y8QivbbrlKYjjIgq7vwed",2313538
"Durango '95 (A Real Horror Show)","1jfQm9nM5bqF2XutbXUyw3",693567
"Torcher","0F95rLQQMzkSbRh0mfXKnQ",696015
